product_id,product_name,category,unit_cost
1,Product_1,Transformer,2114.1
2,Product_2,Gear,2697.01
3,Product_3,Sensor,4015.37
4,Product_4,Compressor,3471.53
5,Product_5,Transformer,414.51
6,Product_6,Conveyor,2542.77
7,Product_7,Gear,1037.23
8,Product_8,Conveyor,2563.49
9,Product_9,Motor,4832.37
10,Product_10,Compressor,119.09
11,Product_11,Valve,3060.29
12,Product_12,Transformer,3385.59
13,Product_13,Transformer,2378.12
14,Product_14,Conveyor,2439.37
15,Product_15,Conveyor,3929.98
16,Product_16,Conveyor,2685.11
17,Product_17,Bearing,1716.46
18,Product_18,Valve,1133.04
19,Product_19,Switch,3894.52
20,Product_20,Gear,2993.74
21,Product_21,Transformer,832.65
22,Product_22,Conveyor,1221.57
23,Product_23,Transformer,1080.18
24,Product_24,Pump,1593.99
25,Product_25,Valve,795.35
26,Product_26,Switch,525.0
27,Product_27,Valve,448.07
28,Product_28,Sensor,3518.96
29,Product_29,Motor,4986.45
30,Product_30,Transformer,4917.67
31,Product_31,Switch,1791.34
32,Product_32,Gear,3517.88
33,Product_33,Compressor,4922.13
34,Product_34,Transformer,2200.48
35,Product_35,Compressor,2301.72
36,Product_36,Compressor,607.92
37,Product_37,Bearing,2467.55
38,Product_38,Gear,4075.53
39,Product_39,Switch,373.54
40,Product_40,Compressor,1889.88
41,Product_41,Motor,155.75
42,Product_42,Gear,4730.74
43,Product_43,Compressor,3939.1
44,Product_44,Motor,4337.19
45,Product_45,Pump,1257.03
46,Product_46,Conveyor,1614.37
47,Product_47,Switch,1696.05
48,Product_48,Valve,137.19
49,Product_49,Motor,805.77
50,Product_50,Sensor,1164.14
51,Product_51,Gear,2660.88
52,Product_52,Compressor,2429.78
53,Product_53,Switch,4690.76
54,Product_54,Pump,3567.97
55,Product_55,Compressor,599.04
56,Product_56,Sensor,3123.24
57,Product_57,Bearing,439.9
58,Product_58,Motor,1357.97
59,Product_59,Conveyor,4332.92
60,Product_60,Conveyor,1554.95
61,Product_61,Gear,1092.1
62,Product_62,Motor,175.34
63,Product_63,Sensor,1928.67
64,Product_64,Compressor,2521.09
65,Product_65,Conveyor,4425.1
66,Product_66,Sensor,2788.23
67,Product_67,Valve,2295.02
68,Product_68,Gear,2441.34
69,Product_69,Motor,4826.91
70,Product_70,Gear,3202.27
71,Product_71,Pump,1167.17
72,Product_72,Transformer,2158.97
73,Product_73,Compressor,277.54
74,Product_74,Bearing,2722.18
75,Product_75,Bearing,3435.32
76,Product_76,Transformer,1184.24
77,Product_77,Conveyor,4219.93
78,Product_78,Compressor,2099.77
79,Product_79,Bearing,2585.75
80,Product_80,Gear,521.62
81,Product_81,Motor,4511.99
82,Product_82,Switch,3997.29
83,Product_83,Conveyor,899.54
84,Product_84,Transformer,2179.12
85,Product_85,Sensor,3418.31
86,Product_86,Sensor,73.64
87,Product_87,Valve,3752.78
88,Product_88,Motor,715.98
89,Product_89,Bearing,2406.18
90,Product_90,Motor,4941.61
91,Product_91,Transformer,2339.2
92,Product_92,Bearing,2837.0
93,Product_93,Motor,2804.77
94,Product_94,Valve,4240.1
95,Product_95,Bearing,1963.0
96,Product_96,Pump,1315.43
97,Product_97,Switch,136.17
98,Product_98,Bearing,271.21
99,Product_99,Compressor,3075.57
100,Product_100,Pump,2795.87
101,Product_101,Bearing,530.23
102,Product_102,Bearing,4851.93
103,Product_103,Conveyor,3103.02
104,Product_104,Conveyor,4922.15
105,Product_105,Valve,328.66
106,Product_106,Valve,420.06
107,Product_107,Sensor,2186.71
108,Product_108,Gear,4826.53
109,Product_109,Valve,220.43
110,Product_110,Conveyor,3145.76
111,Product_111,Switch,4390.58
112,Product_112,Gear,429.6
113,Product_113,Conveyor,4896.67
114,Product_114,Switch,3391.59
115,Product_115,Pump,1859.42
116,Product_116,Valve,2156.44
117,Product_117,Conveyor,2975.26
118,Product_118,Gear,2469.93
119,Product_119,Pump,1519.38
120,Product_120,Bearing,1158.76
121,Product_121,Pump,419.89
122,Product_122,Sensor,1872.62
123,Product_123,Gear,117.36
124,Product_124,Switch,3175.38
125,Product_125,Transformer,3496.9
126,Product_126,Bearing,3768.58
127,Product_127,Motor,2449.21
128,Product_128,Pump,4004.17
129,Product_129,Gear,3547.41
130,Product_130,Gear,3069.19
131,Product_131,Conveyor,673.48
132,Product_132,Sensor,3744.06
133,Product_133,Sensor,4765.69
134,Product_134,Pump,1965.64
135,Product_135,Bearing,1132.36
136,Product_136,Motor,4273.1
137,Product_137,Switch,252.34
138,Product_138,Switch,3993.42
139,Product_139,Pump,3502.78
140,Product_140,Compressor,2408.09
141,Product_141,Transformer,517.7
142,Product_142,Switch,3298.7
143,Product_143,Conveyor,3372.04
144,Product_144,Compressor,2542.26
145,Product_145,Pump,2559.29
146,Product_146,Valve,1967.46
147,Product_147,Gear,1328.22
148,Product_148,Gear,4845.73
149,Product_149,Valve,2345.13
150,Product_150,Conveyor,3898.11
151,Product_151,Switch,4217.43
152,Product_152,Valve,2517.11
153,Product_153,Switch,1894.38
154,Product_154,Pump,4879.56
155,Product_155,Bearing,1632.36
